,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Distance,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Distance (km),Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
0,ELEC,San Diego Convention Center - Ace Parking,111 W Harbor Dr,,San Diego,CA,92101,,619-237-0399,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,32.70597,-117.162,2018-05-03,7264,0.68665,2019-05-14 21:16:45 UTC,P,,,1998-06-15,,,,,J1772,US,1.10506,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,
1,ELEC,UDR,613-23 13th St,13TH MARKET - 2; -,San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.7118031,-117.1526211,2019-10-19,55762,0.70406,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,1.13307,,,,Public,,public,,,,,,,,,,"Pricing is based on an hourly rate. $0.5 per hour, minimum payment of $0.5, maximum payment of $9, maximum session time is 24 hours",,,,,,,,,
2,ELEC,UDR,310 Market St,13TH MARKET - 1; -,San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.711758,-117.1526158,2019-10-19,55763,0.70556,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,1.13549,,,,Public,,public,,,,,,,,,,"Pricing is based on an hourly rate. $0.5 per hour, minimum payment of $0.5, maximum payment of $9, maximum session time is 24 hours",,,,,,,,,
3,ELEC,IRVINE  CO  OFC,501 W. Broadway,"501 W BROADWY01; Follow signs, stations are on Level P4.
501 W BROADWY02; Stations are on Level P4, follow the signs.
501 W BROADWY04; Stations are on Level P4, follow signs.",San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,5,,,ChargePoint Network,http://www.chargepoint.com/,200-9,32.715178,-117.167737,2019-10-19,60329,0.23051,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,0.37097,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time. $1.25 per hour for the first 4 hours, and $3 per additional hour, maximum payment of $24, maximum session time is 24 hours",,,,,,,,,
4,ELEC,707 BROADWAY,707 Broadway,"4-1; www.707innovate.com
4-2; -
4-3; -
4-4; -
8-1; -
8-2; -
8-3; -
8-4; -
8-5; -
B3-1; -
B3-2; -
B3-3; -
B3-4; -
B3-5; -
B3-6; -",San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,30,,,ChargePoint Network,http://www.chargepoint.com/,200-9,32.715481,-117.157996,2019-10-19,66763,0.33772,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,0.54351,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time. $1 per hour for the first 4 hours, and $3 per additional hour, minimum payment of $1",,,,,,,,,
5,ELEC,Marriott - Coronado Island,2000 2nd St,,Coronado,CA,92118,,619-435-3000,E,,Public,24 hours daily; for guest use only; see front desk for access; pay lot,,,,,,1,,,Non-Networked,,200-8,32.694671,-117.166897,2019-02-06,68955,1.47254,2019-05-14 21:16:45 UTC,P,,,2015-05-01,,,,,J1772,US,2.36982,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
6,ELEC,Coronado Cays - Homeowners Association,590 Grand Caribe Causeway,Located near the homeowners association,Coronado,CA,92118,,619-522-7300  855-885-9571,E,,Public,24 hours daily,,,,,,3,,,OpConnect,http://www.opconnect.com/,GPS,32.685885,-117.183089,2019-05-09,69975,2.3524,2019-05-14 21:16:45 UTC,LG,,,2014-09-01,,,,,J1772,US,3.78582,,,,Public,,public,,,MUNI_GOV,,,,,,,$2.25 per hour,,,,,,,,,
7,ELEC,Coronado Golf Course,2000 Visalia Row,,Coronado,CA,92118,,619-522-6590  855-885-9571,E,,Public,24 hours daily,,,,,,3,,,OpConnect,http://www.opconnect.com/,200-8,32.685023,-117.167711,2019-05-09,75489,2.14233,2019-05-14 21:16:45 UTC,P,,,2016-04-01,,,,,J1772,US,3.44775,,,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,$2.25 per hour,,,,,,,,,
8,ELEC,EV LOFTS GREYST,688 13th St,STATION 01; Located on P1 floor,San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.7122598,-117.1530708,2019-10-19,76837,0.66801,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,1.07506,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,
9,ELEC,1040PARKADE,1060 J St,"STATION 01; Near to the entrance 
STATION 02; Near to the entrance ",San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-8,32.7096,-117.155005,2019-10-19,92219,0.66541,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,1.07087,,,,Public,,public,,,,,,,,,,$0.59 per kWh,,,,,,,,,
